MIEJSCOWOŚĆ 	 WIELKOŚĆ 	 ODLEGŁOŚĆ DO MORZA 	 NAZWA 	 DATA 	 CENA ZA CAŁOŚĆ 	 CENA ZA DZIEŃ 	 NR TELEFONU 	 LINK 
Nowotki 	 0 	 2.82 km 	 Studio Relax 	 17.08.2020 - 26.08.2020 	 € 640.50 	 71.17 	 --- 	 https://www.booking.com/hotel/pl/studio-relax-kolnik.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=369067721_167364107_3_0_0%2C369067716_167364107_3_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=35&highlighted_blocks=369067721_167364107_3_0_0%2C369067716_167364107_3_0_0&hpos=10&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=369067721_167364107_3_0_0__120599%2C369067716_167364107_3_0_0__161099&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Hostel Gdański Dom Turystyczny Hostel 	 17.08.2020 - 26.08.2020 	 € 867.35 	 96.37 	 --- 	 https://www.booking.com/hotel/pl/apartamenty-dlugie-ogrody-gdansk.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=34756605_262234554_0_2_0%2C34756605_262234554_0_2_0%2C34756601_262234554_0_2_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=36&highlighted_blocks=34756605_262234554_0_2_0%2C34756605_262234554_0_2_0%2C34756601_262234554_0_2_0&hpos=11&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=34756605_262234554_0_2_0__103500%2C34756605_262234554_0_2_0__103500%2C34756601_262234554_0_2_0__162000&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 POKÓJ POMORSKA 	 17.08.2020 - 26.08.2020 	 € 714.16 	 79.35 	 --- 	 https://www.booking.com/hotel/pl/pokoj-pomorska-elblag.html?label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=545717003_198436731_3_0_0%2C545717001_198436731_3_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=2&highlighted_blocks=545717003_198436731_3_0_0%2C545717001_198436731_3_0_0&hpos=2&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=545717003_198436731_3_0_0__152100%2C545717001_198436731_3_0_0__162000&srepoch=1596625756&srpvid=9c394e6dd53800c5&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 VillasDworek u Leszczyńskich 	 17.08.2020 - 26.08.2020 	 THB 29,876.92 	 3319.66 	 --- 	 https://www.booking.com/hotel/pl/dworek-u-leszczynskich.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=463804102_203915704_6_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=31&highlighted_blocks=463804102_203915704_6_0_0&hpos=6&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=463804102_203915704_6_0_0__359999&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Bursztynowa Wyspa 	 17.08.2020 - 26.08.2020 	 THB 29,876.92 	 3319.66 	 --- 	 https://www.booking.com/hotel/pl/bursztynowa-wyspa.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=236148504_101075881_4_0_0%2C236148503_101075881_2_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=29&highlighted_blocks=236148504_101075881_4_0_0%2C236148503_101075881_2_0_0&hpos=4&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=236148504_101075881_4_0_0__180000%2C236148503_101075881_2_0_0__180000&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Guesthouse Gościniec nad Zalewem 	 17.08.2020 - 26.08.2020 	 € 880.33 	 97.81 	 --- 	 https://www.booking.com/hotel/pl/gosciniec-nad-zalewem-katy-rybackie.html?label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=540990712_270577685_3_2_0%2C540990719_270222037_3_2_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=5&highlighted_blocks=540990712_270577685_3_2_0%2C540990719_270222037_3_2_0&hpos=5&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=540990712_270577685_3_2_0__188999%2C540990719_270222037_3_2_0__188999&srepoch=1596625756&srpvid=9c394e6dd53800c5&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 ApartmentLazur 	 17.08.2020 - 26.08.2020 	 HK$ 7,923.38 	 880.38 	 --- 	 https://www.booking.com/hotel/pl/lazur-gdansk1.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=644100401_264391935_6_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=47&highlighted_blocks=644100401_264391935_6_0_0&hpos=22&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=644100401_264391935_6_0_0__382499&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Resort Zajazd Malibu Sztutowo 	 17.08.2020 - 26.08.2020 	 THB 17,926.15 	 1991.79 	 --- 	 https://www.booking.com/hotel/pl/zajazd-malibu-sztutowo.html?label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=656250904_269032691_7_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=6&highlighted_blocks=656250904_269032691_7_0_0&hpos=6&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=656250904_269032691_7_0_0__215999&srepoch=1596625756&srpvid=9c394e6dd53800c5&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Bed and Breakfast Jabłoniowy Dworek Kociewie 	 17.08.2020 - 26.08.2020 	 THB 28,009.61 	 3112.18 	 --- 	 https://www.booking.com/hotel/pl/jabaoniowy-dworek-kociewie-sp-z-o-o.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=87376901_226143985_0_2_0%2C87376905_226143985_3_2_0%2C87376902_226143985_0_2_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=42&highlighted_blocks=87376901_226143985_0_2_0%2C87376905_226143985_3_2_0%2C87376902_226143985_0_2_0&hpos=17&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=87376901_226143985_0_2_0__99000%2C87376905_226143985_3_2_0__148500%2C87376902_226143985_0_2_0__89999&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 ApartmentApartament U Tereski 	 17.08.2020 - 26.08.2020 	 € 818.53 	 90.95 	 --- 	 https://www.booking.com/hotel/pl/u-tereski-gdansk.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=38488801_193412600_0_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=37&highlighted_blocks=38488801_193412600_0_0_0&hpos=12&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=38488801_193412600_0_0_0__360000&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Biesiadny Dworek 	 17.08.2020 - 26.08.2020 	 KHR 4,142,343.64 	 460260.40 	 --- 	 https://www.booking.com/hotel/pl/biesiadny-dworek.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=112715403_200250175_2_0_0%2C112715406_200250175_2_0_0%2C112715407_200250175_2_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=38&highlighted_blocks=112715403_200250175_2_0_0%2C112715406_200250175_2_0_0%2C112715407_200250175_2_0_0&hpos=13&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=112715403_200250175_2_0_0__125999%2C112715406_200250175_2_0_0__125999%2C112715407_200250175_2_0_0__125999&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Farm Stay Andromeda 	 17.08.2020 - 26.08.2020 	 HK$ 4,287.95 	 476.44 	 --- 	 https://www.booking.com/hotel/pl/andromeda-mikoszewo.html?label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=438637303_147635899_6_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=25&highlighted_blocks=438637303_147635899_6_0_0&hpos=25&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=438637303_147635899_6_0_0__207000&srepoch=1596625756&srpvid=9c394e6dd53800c5&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Inn Zajazd Korona 	 17.08.2020 - 26.08.2020 	 € 654.82 	 72.76 	 --- 	 https://www.booking.com/hotel/pl/zajazd-korona.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=185125302_206227134_3_2_0%2C185125302_206227134_3_2_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=46&highlighted_blocks=185125302_206227134_3_2_0%2C185125302_206227134_3_2_0&hpos=21&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=185125302_206227134_3_2_0__143999%2C185125302_206227134_3_2_0__143999&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Inn Restauracja Zajazd Trefl 	 17.08.2020 - 26.08.2020 	 3,858.06 lei 	 428.67 	 --- 	 https://www.booking.com/hotel/pl/restauracja-zajazd-trefl.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=487819702_243321563_2_2_0%2C487819701_243321563_2_2_0%2C487819706_243321563_2_2_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=41&highlighted_blocks=487819702_243321563_2_2_0%2C487819701_243321563_2_2_0%2C487819706_243321563_2_2_0&hpos=16&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=487819702_243321563_2_2_0__116999%2C487819701_243321563_2_2_0__116999%2C487819706_243321563_2_2_0__116999&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 ApartmentApartament ul.Stągiewna 	 17.08.2020 - 26.08.2020 	 KHR 4,262,888.04 	 473654.23 	 --- 	 https://www.booking.com/hotel/pl/apartament-ul-stagiewna.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=252156401_190007561_0_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=45&highlighted_blocks=252156401_190007561_0_0_0&hpos=20&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=252156401_190007561_0_0_0__389000&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Hostel Hostel Duchówka 	 17.08.2020 - 26.08.2020 	 € 613.90 	 68.21 	 --- 	 https://www.booking.com/hotel/pl/hostel-duchowka.html?label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=654820117_268088359_6_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=9&highlighted_blocks=654820117_268088359_6_0_0&hpos=9&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=654820117_268088359_6_0_0__270000&srepoch=1596625756&srpvid=9c394e6dd53800c5&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Pokoje Noclegi OrzecH 	 17.08.2020 - 26.08.2020 	 € 818.53 	 90.95 	 --- 	 https://www.booking.com/hotel/pl/pokoje-noclegi-orzech.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=371635403_204259189_4_0_0%2C371635402_204259189_2_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=33&highlighted_blocks=371635403_204259189_4_0_0%2C371635402_204259189_2_0_0&hpos=8&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=371635403_204259189_4_0_0__216000%2C371635402_204259189_2_0_0__144000&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Lodge Domki Letniskowe KORMORAN 	 17.08.2020 - 26.08.2020 	 € 900.79 	 100.09 	 --- 	 https://www.booking.com/hotel/pl/osrodek-wczasowy-kormoran.html?label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=493783309_272841848_6_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=3&highlighted_blocks=493783309_272841848_6_0_0&hpos=3&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=493783309_272841848_6_0_0__386999&srepoch=1596625756&srpvid=9c394e6dd53800c5&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Willa Kryształ 	 17.08.2020 - 26.08.2020 	 € 758.77 	 84.31 	 --- 	 https://www.booking.com/hotel/pl/willa-krysztal-stegna.html?label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=656766402_269356342_3_0_0%2C656766403_269356342_3_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=13&highlighted_blocks=656766402_269356342_3_0_0%2C656766403_269356342_3_0_0&hpos=13&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=656766402_269356342_3_0_0__162000%2C656766403_269356342_3_0_0__162000&srepoch=1596625756&srpvid=9c394e6dd53800c5&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Pokoje Gościnne KORMORAN 	 17.08.2020 - 26.08.2020 	 $974.25 	 108.25 	 --- 	 https://www.booking.com/hotel/pl/pokoje-goscinne-kormoran-katy-rybackie.html?label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=617151116_272842417_4_0_0%2C617151101_272842417_2_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=4&highlighted_blocks=617151116_272842417_4_0_0%2C617151101_272842417_2_0_0&hpos=4&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=617151116_272842417_4_0_0__216000%2C617151101_272842417_2_0_0__148500&srepoch=1596625756&srpvid=9c394e6dd53800c5&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Hostel La Guitarra Hostel Gdańsk 	 17.08.2020 - 26.08.2020 	 $991.62 	 110.18 	 --- 	 https://www.booking.com/hotel/pl/la-guitarra-hostel-gdansk.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=32277904_118755301_0_2_0%2C32277905_118755301_0_2_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=49&highlighted_blocks=32277904_118755301_0_2_0%2C32277905_118755301_0_2_0&hpos=24&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=32277904_118755301_0_2_0__213000%2C32277905_118755301_0_2_0__157999&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Vacation HomesDomki Zacisze Mikoszewo 	 17.08.2020 - 26.08.2020 	 THB 24,274.99 	 2697.22 	 --- 	 https://www.booking.com/hotel/pl/zacisze-mikoszewo.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=252148804_103728852_6_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=26&highlighted_blocks=252148804_103728852_6_0_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=252148804_103728852_6_0_0__292500&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
Nowotki 	 0 	 2.82 km 	 Inn Pokoje gościnne Restauracji Don Roberto 	 17.08.2020 - 26.08.2020 	 € 845.17 	 93.91 	 --- 	 https://www.booking.com/hotel/pl/pokoje-goscinne-restauracji-don-roberto.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGKIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4AramqvkFwAIB0gIkMmQ3MzdhYzItYTc5NC00ZmM5LTliMjgtOGE2MDgxMDZiM2Jl2AIF4AIB&sid=e372e43b93737326a0f47176d29e7928&age=15&age=15&all_sr_blocks=139061803_184500735_0_2_0%2C139061803_184500735_0_2_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=27&highlighted_blocks=139061803_184500735_0_2_0%2C139061803_184500735_0_2_0&hpos=2&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=139061803_184500735_0_2_0__179999%2C139061803_184500735_0_2_0__179999&srepoch=1596625760&srpvid=863e4e6fdf21006c&ucfs=1&from=searchresults#hotelTmpl 
